MRA_term,Modified_term,State
"17,20-desmolase deficiency","17 ,20 desmodlase deficeincy",NO return
"20,22-desmolase deficiency","20 ,22 demsolase deficixency",NO return
Acrocephalosyndactyly,acrocephalcosynacyly,NO return
Acrocephalosyndactyly,acrocephalosynmdacsttyly,NO return
Acrocephalosyndactyly,acrocpehalosyndttyly,NO return
Acrocephalosyndactyly,acrocpehalosyndactlayy,NO return
Acrocephalosyndactyly,axrocephalsoyqndactyly,NO return
Adenoidectomy,adeindectomy,NO return
Aesthesioneuroblastoma,alsthfesioneuoblastoma,NO return
Aesthesioneuroblastoma,aesthesionteurobzlkastoma,NO return
Aesthesioneuroblastoma,aesdhesionhuroblbastoma,NO return
Aesthesioneuroblastoma,aeshtesioneuraoblastjma,NO return
Aesthesioneuroblastoma,ajsvhesionveuroblastoma,NO return
Amniocentesis abnormal,amniocncetesis abnormae,NO return
Aneurysm arteriovenous,aneursym taeriovenous,NO return
Angiocentric lymphoma stage II,angiocernic wymphoma sktage ii,NO return
Apolipoprotein A-I increased,psaolipoprotein a i incrbeased,NO return
Arteriovenous malformation,artehrwovenous malfoartion,NO return
Arteriovenous malformation,arteriovenso alfomration,NO return
Atypical mycobacterial lymphadenitis,atypicla xmycobactrial lymphadetnis,NO return
Basosquamous carcinoma of skin,basosqmuous carcwnoma of skin,NO return
Bile duct adenocarcinoma,bile duct adnyeocarcinoma,NO return
Bladder telangiectasia,ladder eftlangiectasia,NO return
Blood bactericidal activity,lbood ahbctericidal acsivity,NO return
Blood lactate dehydrogenase normal,blodo llactate dehydrogenea cormal,NO return
Blood triglycerides decreased,blocd triglycrweides decrleased,NO return
Brachytherapy to brain,brahecytherapy to braib,NO return
Brachytherapy to colon,brachytherpjay to colo,NO return
Brachytherapy to prostate,brachytherya to przostate,NO return
Breast reconstruction,pbreast reconstruicon,NO return
Bronchiectasis,bronicectasis,NO return
Carboxyhaemoglobinaemia,carboxyheamoglobinzaemai,NO return
Carboxyhaemoglobinaemia,carboxyhaemoglebiniemiu,NO return
Carboxyhaemoglobinaemia,caboxyhaemoglobniaemiaa,NO return
Carboxyhaemoglobinaemia,carboyxhemoglobinaeiia,NO return
Carboxyhaemoglobinaemia,carboxyharemoglobinahma,NO return
Cardiac function disturbance postoperative,cardhiac funfction distprbance sptoperative,NO return
Cerebral arteriovenous malformation haemorrhagic,cerebaral arteriovgneous mlalformatidon haermrhagic,NO return
Chlamydial pelvic inflammatory disease,clamydial pemvic ilnammatory dirsease,NO return
Choledochotomy,choloechotomy,NO return
Chondrodystrophy,chondrodystoarphy,NO return
Complications of transplanted lung,compliccauions of tnrsplanted lung,NO return
Complications of transplanted pancreas,comspliiations of trapnlanted panckreas,NO return
Congenital syphilitic encephalitis,chongenital ssyphilitic enemcphalitis,NO return
