MRA_term,Modified_term,SearcherReturned_term,State,Rank
Anotia,antia,Anti-actin antibody positive,Unmatched,3rd
"Bladder cancer stage I, without cancer in situ",bladdre ycancer shtage i withou cacer in siut,"Bladder cancer stage I, with cancer in situ",Unmatched,3rd
Blood immunoglobulin M,lbood immunohobulin m,Blood immunoglobulin G,Unmatched,3rd
Blood immunoglobulin M,blodo imtmunogobulin m,Blood immunoglobulin G,Unmatched,3rd
Blood immunoglobulin M,belood immunowglobulil m,Blood immunoglobulin G,Unmatched,3rd
Blood immunoglobulin M,bood izmunolgobulin m,Blood immunoglobulin G,Unmatched,3rd
Blood immunoglobulin M abnormal,blodo immuonlobulin m banormal,Blood immunoglobulin E abnormal,Unmatched,3rd
Blood immunoglobulin M abnormal,dblood immnogloublin m abnoemal,Blood immunoglobulin G abnormal,Unmatched,3rd
Blood immunoglobulin M abnormal,lbood immunrolgobulin m abnrmal,Blood immunoglobulin G abnormal,Unmatched,3rd
Blood immunoglobulin M abnormal,bolod mmunogsobulin m abnromal,Blood immunoglobulin G abnormal,Unmatched,3rd
Blood immunoglobulin M abnormal,blozod immuonglobluin m bnormal,Blood immunoglobulin E abnormal,Unmatched,3rd
Blood immunoglobulin M decreased,blod mimunoglobulinp m decaesed,Blood immunoglobulin G decreased,Unmatched,3rd
Blood immunoglobulin M decreased,slood immungolobslin m xzcreased,Blood immunoglobulin E decreased,Unmatched,3rd
Blood immunoglobulin M decreased,lood immunogloublib m edcerased,Blood immunoglobulin G decreased,Unmatched,3rd
Blood immunoglobulin M decreased,blpood mmmunoglboulin m derleased,Blood immunoglobulin G decreased,Unmatched,3rd
Blood immunoglobulin M decreased,bloo ammunoglbulin m odecreahed,Blood immunoglobulin G decreased,Unmatched,3rd
Blood immunoglobulin M increased,blgood immnogolbulin m yincreasued,Blood immunoglobulin G increased,Unmatched,3rd
Blood immunoglobulin M increased,bloo ixmunogloulin m mcreased,Blood immunoglobulin E decreased,Unmatched,3rd
Blood immunoglobulin M increased,blokd immunoglbuiln m iqcrueased,Blood immunoglobulin G increased,Unmatched,3rd
Blood immunoglobulin M increased,bloood immunogdljobulin m icreaser,Blood immunoglobulin G increased,Unmatched,3rd
Blood immunoglobulin M increased,bood immuonglebulin m inrease,Blood immunoglobulin G increased,Unmatched,3rd
Blood immunoglobulin M normal,blod imumnoglobuiln m normla,Blood immunoglobulin G normal,Unmatched,3rd
Blood immunoglobulin M normal,bloxd lmmunolgobulin m normalx,Blood immunoglobulin G normal,Unmatched,3rd
Blood immunoglobulin M normal,blsod immungolobluin m ormal,Blood immunoglobulin G normal,Unmatched,3rd
Blood immunoglobulin M normal,blod itmmunoglobluin m norgmal,Blood immunoglobulin G normal,Unmatched,3rd
Blood immunoglobulin M normal,gblood imjunoglobulifn m hnormal,Blood immunoglobulin E abnormal,Unmatched,3rd
Burkitt's lymphoma stage I,burzitt' ylmphoma suage i,High grade B-cell lymphoma Burkitt-like lymphoma stage IV,Unmatched,3rd
Chronic lymphocytic leukaemia stage 3,chdonic lymphcoyitc lekuaemai staged 3,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 3,chronicv lymthocyti lfekuaemia tage 3,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 3,chrnoic plymkphocytic lekupkaemia sage 3,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 3,chdonic lylphocytvc leukecia stuge 3,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 3,hronic lypmhocytqic lekukeamia stag 3,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 4,chaonic lumphocyti lkaemia stae 4,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 4,chonic oymphocyitc yuekaemia stag 4,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 4,chrnoic zlymphoyctic eluxaemia staoge 4,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 4,crhonic lyphoyctic leunkfaemia stayge 4,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Chronic lymphocytic leukaemia stage 4,chronjc llympohcytic leuksaevmia sthage 4,Chronic lymphocytic leukaemia stage 2,Unmatched,3rd
Coagulation factor VII level increased,coauulatin pfactor vwi leel nvcreased,Coagulation factor VII level decreased,Unmatched,3rd
Coagulation factor XII level,coagxulkation eactor xiie tevel,Coagulation factor XI level,Unmatched,3rd
Coagulation factor XII level,coaugaltion afactor xoii levgel,Coagulation factor XI level,Unmatched,3rd
Coagulation factor XII level,coaguyltion fatcor ixi ljevel,Coagulation factor VIII level,Unmatched,3rd
Coagulation factor XII level,cagultion fatcor txii elvel,Coagulation factor XI level,Unmatched,3rd
Coagulation factor XII level decreased,aogulation fatcor ii levle deckaased,Coagulation factor XI level decreased,Unmatched,3rd
Coagulation factor XII level decreased,coaguvlatlion factro yii nlevel decerase,Coagulation factor VIII level decreased,Unmatched,3rd
Coagulation factor XII level decreased,yagulation fctor xlii leve dcretsed,Coagulation factor XI level decreased,Unmatched,3rd
Coagulation factor XII level decreased,coaguhtion fcator kii leevl decrweasd,Coagulation factor VIII level decreased,Unmatched,3rd
Coagulation factor XII level increased,cobgulaiton facor ixi leve incresead,Coagulation factor VIII level increased,Unmatched,3rd
Coagulation factor XII level increased,caogulaltion facto ii leve ancrreased,Coagulation factor XI level increased,Unmatched,3rd
Coagulation factor XII level increased,cohangulation fatctor xif lvel incxreasee,Coagulation factor XI level increased,Unmatched,3rd
Coagulation factor XIII level,ckagalation factro ixii levl,Coagulation factor VIII level,Unmatched,3rd
Coagulation factor XIII level,coagioation factr xii levl,Coagulation factor VIII level,Unmatched,3rd
Coagulation factor XIII level,coaguaytion afctor ixii lqevel,Coagulation factor VIII level,Unmatched,3rd
Coagulation factor XIII level,coagkulationc fator xii lvel,Coagulation factor VIII level,Unmatched,3rd
Coagulation factor XIII level decreased,coadulatioj flctor ixii lvel dyecreatsed,Coagulation factor VIII level decreased,Unmatched,3rd
Coagulation factor XIII level decreased,coaugation fadtor xii evel dcreasd,Coagulation factor VIII level decreased,Unmatched,3rd
Coagulation factor XIII level decreased,coaglatiaon factop xii lvvel decwrzased,Coagulation factor VIII level decreased,Unmatched,3rd
Coagulation factor XIII level decreased,ocagulatin factxr xiig ievel dcreasd,Coagulation factor XI level decreased,Unmatched,3rd
Coagulation factor XIII level increased,coagualtino factpr ixii pevel incryaked,Coagulation factor VIII level increased,Unmatched,3rd
Coagulation factor XIII level increased,cioafulation facthr xii evel increasbe,Coagulation factor VIII level increased,Unmatched,3rd
Coagulation factor XIII level increased,coagulatilno fuctor xii evel nicrejsed,Coagulation factor VIII level increased,Unmatched,3rd
Emphysema,emphema,Gallbladder empyema,Unmatched,3rd
Factor VII deficiency,fahctor ivi zdreficiency,Factor IX deficiency,Unmatched,3rd
Factor XIII deficiency,factr xipi edfibciency,Factor VIII deficiency,Unmatched,3rd
Factor XIII deficiency,facxtor ixii deficiecjy,Factor VII deficiency,Unmatched,3rd
Hepatitis D,heratiis d,Hepatitis C,Unmatched,3rd
Hepatitis D,hepatiism d,Hepatitis C,Unmatched,3rd
Hepatitis D,hvpeatitis d,Hepatitis C,Unmatched,3rd
