unfoundTokens,addedTokens,count
iii,ii,291
iv,ii,278
abnormal,normal,116
i,0,104
b,a,65
e,a,45
t,b,44
2,1,41
c,a,40
c,b,38
d,c,35
d,a,33
1,2,25
b6,b12,24
iii,i,24
a,c,24
increased,decreased,22
a,b,21
normal,abnormal,17
scar,scab,16
b,t,15
e,c,15
b1,b12,15
b2,b12,15
e,d,15
c2,c3,15
b,c,14
pharyngeal,laryngeal,14
k,c,14
t,i,14
vith,ivth,14
0,i,14
a,d,13
eye,ear,13
retinal,renal,13
renal,rectal,13
renal,anal,13
c4,c3,13
vgkc,vgcc,12
po2,pco2,12
creatinine,creatine,12
decreased,increased,11
nasal,anal,10
ix,ii,10
s,c,10
brca2,brca1,10
scab,scar,10
b,d,10
i,iv,9
n,k,9
c1,c3,9
restenosis,stenosis,9
c,s,9
h,k,9
dna,rna,9
oral,ear,8
nasal,nail,8
x,ix,8
5701,5801,8
limb,lip,7
urea,lead,7
vii,viii,6
eyelid,eye,6
b12,b6,6
xiii,viii,6
skin,lip,6
present,absent,6
viii,ii,6
nmda,gad,6
vii,ii,6
xxx,xxxy,5
17,11,5
ii,ix,5
i,v,5
x,i,5
2,2a,5
abuser,abuse,5
12,11,5
d,b,5
balt,malt,5
ii,iv,5
nasal,oral,5
mass,rash,5
x,v,5
liver,lip,5
c2,c1,5
3,1,5
2b,2a,5
b6,b1,5
k,a,5
ix,xi,5
cysteine,cystine,5
ivth,vith,5
22,11,5
xi,ix,5
21,11,5
c,i,5
18,11,5
xith,vith,5
v,i,5
4p,11,5
cd4,cd8,5
e,b,5
15,11,5
ear,eye,5
v,x,5
f,a,5
vaginal,anal,5
skin,hiv,5
g,a,5
9,11,5
h,a,5
citric,uric,5
vi,ii,5
cd8,cd4,5
b2,b1,5
ab,a,5
8,11,5
hbv,hiv,5
b12,b1,5
16,11,5
14,11,5
13,11,5
pco2,po2,5
xxyy,xxxy,5
5801,5701,5
cd20,cd25,5
o,a,5
frasier,fraser,4
htlv,hiv,4
h3n2,h2n2,4
cyst,cast,4
igd,ige,4
head,hand,4
xiii,ii,4
igm,ige,4
vth,ivth,4
ii,iii,4
rectal,renal,4
neck,back,4
xith,ivth,4
viith,viiith,4
test,chest,4
methanol,ethanol,4
xi,ii,4
urethral,ureteral,3
tongue,bone,3
cyp2b6,cyp2d6,3
ureteral,urethral,3
xii,ii,3
ear,heart,3
ear,head,3
xyy,xxxy,3
widal,viral,3
urine,bile,3
use,abuse,3
fascial,facial,3
vgkc,gad,3
without,with,3
viii,vii,3
use,size,3
sinus,iris,3
flood,good,3
tear,tap,3
iiia,iii,3
iiib,ii,3
irrigation,irritation,3
