unfoundTokens,addedTokens,count
e,c,25
d,c,24
e,d,20
b2,b1,15
t,b,13
ii,iv,12
c2,c1,10
a,k,10
d,k,10
k,d,10
iv,ii,8
i,ii,6
pharyngeal,laryngeal,5
f,c,5
g,c,5
h,c,5
14,21,5
iii,vii,5
i,iv,5
renal,anal,5
12,21,5
a,b,5
8,21,5
15,21,5
16,21,5
b6,b2,5
x,xi,5
b,e,5
xii,xi,5
17,21,5
18,21,5
22,21,5
a,d,5
4p,21,5
9,21,5
iii,ii,4
iii,iv,4
viii,vii,4
iiib,iiia,3
e,b,3
renal,rectal,3
xiii,viii,2
xiii,vii,2
neurosis,necrosis,2
vii,ii,2
xxx,xyy,2
hair,heart,2
eschar,scar,2
hypopharyngeal,pharyngeal,1
vii,v,1
tenoplasty,anoplasty,1
tension,kerion,1
tongue,knee,1
troponin,protein,1
urea,renal,1
urine,pain,1
urinoma,vipoma,1
vaginal,renal,1
c,s,1
vii,ix,1
b12,b6,1
breast,bursa,1
rotor's,rett,1
xii,ix,1
xii,vii,1
xii,viii,1
asphyxia,aphonia,1
abnormal,normal,1
3101,5701,1
xiith,viith,1
xiith,vith,1
xith,vith,1
chagoma,coma,1
chyluria,chorea,1
iii,viii,1
d,a,1
hyperthermia,hypertonia,1
hair,nail,1
iva,ii,1
iva,iii,1
ivb,iii,1
ivb,iva,1
lens,penis,1
limb,rib,1
macule,fall,1
nail,ear,1
nail,oral,1
neck,eye,1
dysuria,anuria,1
nr5a1,npm1,1
orchitis,colitis,1
oropharyngeal,pharyngeal,1
papule,acne,1
paranoia,aphakia,1
pash,brash,1
pash,ross,1
decreased,increased,1
injection,infection,1
