unfoundTokens,addedTokens,count
abnormal,normal,30
decreased,increased,27
m,e,24
g,e,20
renal,rectal,19
k,e,17
d,e,16
normal,abnormal,16
x,v,14
increased,decreased,12
xiii,viii,12
i,iv,10
xii,xi,6
4,3,6
xii,ix,6
xii,vii,6
renal,anal,5
ivb,iva,5
xiii,xii,5
d,m,5
pharyngeal,laryngeal,5
q,p,4
ix,x,4
viii,x,4
vii,x,4
e,a,4
k,b1,4
j,p,4
xi,xii,3
iv,i,3
laryngeal,pharyngeal,3
iii,i,3
ii,i,3
g,d,3
xiith,vith,3
xith,vth,3
15,22,2
e,b1,2
c2,c4,2
mm,mb,2
c1,c4,2
lipids,lipase,2
stomach,ear,2
brain,ear,2
d,a,2
xii,viii,2
e,b,2
bone,ear,2
iii,xiii,2
a,e,2
xiii,xi,2
spleen,liver,2
heart,cornea,2
9,22,2
gases,count,2
blast,nasal,1
staring,glare,1
swelling,mumps,1
u,p,1
amenorrhoea,amusia,1
back,renal,1
aura,fall,1
xerophthalmia,neuroma,1
sleep,jaw,1
alcoholic,shock,1
adenomyosis,endometritis,1
abnormality,normal,1
a,d,1
spleen,lens,1
fall,pain,1
scar,pco2,1
blood,lens,1
h,d,1
f,d,1
examination,cyst,1
elderly,anger,1
e,d,1
diarrhoea,morose,1
crush,pash,1
crush,breast,1
chills,drooling,1
charge,pash,1
morose,sopor,1
oral,anal,1
overdose,orf,1
pain,infection,1
parity,aura,1
gambling,glare,1
purulence,puva,1
posturing,pustule,1
