unfoundTokens,addedTokens,count
iii,ii,443
iv,ii,421
abnormal,normal,301
i,0,165
normal,abnormal,113
e,a,80
b,a,75
t,b,55
c,b,50
d,a,49
c,a,45
2,1,44
d,c,39
x,ix,35
increased,decreased,33
xi,ix,30
decreased,increased,30
g,a,30
b6,b12,28
viii,vii,27
a,b,26
a,c,26
iii,i,26
urethral,ureteral,25
1,2,25
m,a,24
retinal,renal,23
scar,scab,22
paternal,maternal,20
e,b,20
mm,mb,20
e,d,20
b,t,20
cd8,cd4,20
e,c,19
ureteral,urethral,19
methanol,ethanol,18
eye,ear,16
k,c,15
xii,ix,15
jc,bk,15
xiii,ix,15
t,i,15
c4,c3,15
b1,b12,15
b2,b12,15
nasal,anal,15
c,s,15
0,i,15
xiii,viii,15
present,absent,15
vgkc,vgcc,14
c2,c3,14
a,d,14
creatinine,creatine,14
scab,scar,14
vith,ivth,14
pharyngeal,laryngeal,13
renal,anal,13
b,c,13
incision,infusion,13
xii,vii,11
eyelid,eye,11
c1,c3,10
50,549,10
ii,iv,10
ix,ii,10
s,c,10
bb,mb,10
h,k,10
n,k,10
brca2,brca1,10
oral,ear,10
abuser,abuse,10
cyp2b6,cyp2d6,10
b,d,10
vii,ix,9
nasal,nail,9
cysteine,cystine,9
vii,viii,9
i,iv,9
dna,rna,8
5701,5801,8
cd4,cd8,8
vaginal,anal,8
viii,ii,8
d,b,8
rectal,renal,8
mass,rash,7
htlv,hiv,7
vii,ii,7
renal,rectal,7
pco2,po2,6
restenosis,stenosis,6
papule,macule,6
calcium,cadmium,6
k,a,5
21,11,5
2,2a,5
f,a,5
12,11,5
13,11,5
e,s,5
limb,lip,5
3,0,5
nat1,nat2,5
ethanol,ethanal,5
22,11,5
nasal,oral,5
14,11,5
ear,eye,5
2b,2a,5
cd20,cd25,5
y,x,5
1,0,5
2,0,5
ix,xi,5
16,11,5
hbv,hiv,5
cyst,cast,5
cyp2c9,cyp2c19,5
17,11,5
i,ii,5
i,v,5
h,a,5
ii,iii,5
ii,ix,5
18,11,5
15,19,5
c,n,5
xxyy,xxxy,5
iii,iv,5
iiib,ii,5
19,15,5
indirect,direct,5
19,18,5
15,11,5
frasier,fraser,5
ivth,vith,5
fascial,facial,5
3,1,5
c2,c1,5
c,i,5
5801,5701,5
renal,retinal,5
x,i,5
balt,malt,5
b6,b1,5
xith,ivth,5
b2,b1,5
b12,b6,5
b12,b1,5
anal,nasal,5
c,d,5
x,v,5
7,6,5
9,11,5
72,15,5
72,19,5
vi,ii,5
v,x,5
v,i,5
8,6,5
urea,lead,5
9,3,5
4p,11,5
8,11,5
o,a,5
3,9,5
xith,vith,5
nmda,gad,5
4,9,5
ab,a,5
4,3,5
xi,ii,5
po2,pco2,5
4,0,5
adrenal,renal,5
oral,anal,4
igm,ige,4
crush,crest,4
skin,lip,4
tarsal,carpal,4
nail,nasal,4
vii,v,4
test,rest,4
nest,nose,4
hcv,hiv,4
breast,blast,4
ear,head,4
lung,lip,4
vth,ivth,4
liver,lip,4
eczema,oedema,4
dosage,dose,4
eschar,scar,4
macule,papule,4
polyps,polyp,4
repair,pain,4
nail,anal,4
western,eastern,4
pharynx,larynx,4
242,125,4
xii,ii,4
iiia,iii,4
carbuncle,caruncle,4
ureteritis,urethritis,3
face,back,3
viith,viiith,3
