unfoundTokens,addedTokens,count
e,b,39
c,b,39
d,e,30
x,v,30
d,b,29
iii,ii,28
g,e,25
abnormal,normal,24
t,b,20
e,c,20
a,e,19
m,e,19
xiii,vii,16
e,a,15
b2,b6,15
b1,b6,15
xii,vii,15
i,ii,14
ii,iii,14
c2,c4,13
a,c,13
d,c,12
d,a,11
renal,anal,10
k,e,10
xii,viii,9
c,e,9
c1,c4,9
xi,ix,8
xiii,xii,7
vii,v,7
iii,vii,6
2,1,6
vith,viith,5
4p,13,5
16,13,5
22,13,5
21,13,5
m,a,5
18,13,5
17,13,5
4,9,5
f,b,5
g,b,5
k,c,5
k,a,5
h,b,5
h,n,5
ix,iv,5
i,iv,5
ii,iv,5
ii,vii,5
14,13,5
iv,vi,5
12,13,5
15,13,5
x,ix,5
xii,ix,5
4,1,5
3,2,5
b2,b12,5
n,h,5
b,e,5
b,ab,5
b,a,5
4,3,5
3,1,5
9,13,5
8,7,5
8,13,5
72,19,5
72,15,5
o,b,5
b6,b12,5
iiib,iii,5
c,t,5
2b,2,5
renal,rectal,4
vii,vi,4
viii,vii,4
pharyngeal,laryngeal,4
viii,vi,4
xii,xi,3
hair,ear,3
nasal,oral,3
iii,vi,3
xiii,ix,3
creatinine,creatine,3
igd,igm,3
xith,vith,3
vth,vith,3
mite,milk,3
decreased,increased,3
xiith,viiith,3
nail,ear,3
b,t,3
scar,scab,2
lens,lip,2
tongue,bone,2
nail,fat,2
semen,vein,2
retinal,renal,2
scar,ear,2
oral,nail,2
vaginal,anal,2
mutation,luxation,2
methanol,ethanol,2
ivb,iva,2
xyy,xxyy,2
increased,decreased,2
dental,renal,2
242,549,2
xxx,xyy,2
5701,5801,2
xith,viith,2
anal,nail,2
xiii,viii,2
b12,b6,2
braf,brca2,2
c,a,2
copa,cec,2
cyp3a5,cyp3a4,2
viith,viiith,2
calr,cbl,2
h3n2,h2n2,2
gene,eye,2
vii,ix,2
vii,ii,2
ureteral,urethral,1
phonophobia,phagophobia,1
urea,lead,1
phytotherapy,hypnotherapy,1
po2,pco2,1
xiith,viith,1
xith,xiith,1
proctitis,pouchitis,1
rectal,renal,1
vgkc,vgcc,1
vii,i,1
pearson's,laron,1
renal,oral,1
polyps,polyp,1
spleen,speech,1
spine,skin,1
reoviral,arboviral,1
vii,viii,1
scan,scar,1
xii,ii,1
vein,eye,1
vii,xiii,1
vth,viith,1
scleral,pleural,1
ortner's,potter's,1
synaesthesia,dysaesthesia,1
strokectomy,topectomy,1
skin,sinus,1
otolithiasis,trichiasis,1
0,i,1
oropharyngeal,pharyngeal,1
caecectomy,vasectomy,1
flavectomy,ileectomy,1
faecaluria,faecalith,1
eye,ear,1
eschar,scab,1
enterovirus,echovirus,1
dna,rna,1
dental,genital,1
cysteine,cystine,1
culdoscopy,fundoscopy,1
cryptitis,colitis,1
colectomy,ileostomy,1
cholaemia,cholera,1
cec,cobb,1
c2,c3,1
hypotonia,hypertonia,1
c1,c3,1
brash,bpes,1
brain,iris,1
bone,knee,1
bcor,cbl,1
b,c,1
arthrotomy,atherectomy,1
anal,oral,1
agnosia,anotia,1
a,s,1
a,b,1
5801,1502,1
3101,5701,1
genital,renal,1
i,0,1
oral,viral,1
mental,foetal,1
omental,renal,1
ochlophobia,algophobia,1
nr5a1,braf,1
normal,abnormal,1
neurolysis,enuresis,1
nasal,nail,1
nasal,aural,1
nasal,anal,1
nairovirus,norovirus,1
nail,lip,1
mysophobia,nosophobia,1
myelitis,uveitis,1
mm,mb,1
mass,rash,1
iii,ix,1
mass,cyst,1
macrostomia,macrosomia,1
lung,lip,1
liver,lip,1
liver,limb,1
lipoprotein,protein,1
limb,ilium,1
knee,nose,1
ivb,iii,1
ivb,ii,1
iva,iv,1
infarction,infection,1
iiia,iii,1
iv,ii,1
