unfoundTokens,addedTokens,count
d,e,19
d,m,15
xiii,xi,15
k,e,10
d,a,8
x,v,7
iii,iv,7
abnormal,normal,6
12,22,5
h,d,5
g,d,5
f,d,5
e,d,5
m,e,5
e,a,5
14,22,5
a,d,5
9,22,5
8,22,5
4p,22,5
4,3,5
18,22,5
17,22,5
16,22,5
15,22,5
xii,x,4
xii,xi,4
iii,xiii,4
iii,ii,4
xith,xiith,3
xiith,vith,3
pharyngeal,laryngeal,2
c,e,2
vii,xiii,2
i,iv,2
mm,mb,1
xii,vii,1
xith,vth,1
increased,decreased,1
xiii,xii,1
ivb,iva,1
xiii,viii,1
xiii,ix,1
c1,c4,1
c2,c4,1
xii,viii,1
xii,ix,1
neurolysis,neuritis,1
xi,xii,1
decreased,increased,1
vii,viii,1
vii,vi,1
vii,v,1
renal,rectal,1
renal,anal,1
e,b,1
normal,abnormal,1
iii,xi,1
