unfoundTokens,addedTokens,count
e,c,25
d,c,24
e,d,20
m,g,19
xii,xi,18
xiii,viii,16
b2,b1,15
d,g,15
t,b,13
d,k,10
k,d,10
iv,ii,10
a,k,10
ii,iv,9
xii,viii,8
c2,c1,8
abnormal,normal,8
iii,viii,6
c,e,6
b,e,5
a,d,5
i,iv,5
i,0,5
15,21,5
iiib,iiia,5
h,c,5
g,c,5
f,c,5
16,21,5
17,21,5
18,21,5
22,21,5
m,e,5
3,2,5
4,2,5
4p,21,5
8,21,5
renal,anal,5
9,21,5
a,b,5
viii,vii,5
14,21,5
x,xi,5
b6,b2,5
12,21,5
present,absent,4
iii,vii,4
iii,iv,4
iii,ii,4
xiith,viith,3
normal,abnormal,3
d,a,3
decreased,increased,2
xith,vith,2
b12,b6,2
xii,vii,2
x,ix,2
vii,v,2
i,ii,2
pharyngeal,laryngeal,2
xith,vth,2
increased,decreased,2
hair,heart,2
injection,infection,1
c1,c4,1
vth,vith,1
without,with,1
e,b,1
bcor,calr,1
xii,ix,1
limb,rib,1
mm,bb,1
agnosia,anoxia,1
xiii,vii,1
242,50,1
xiii,xi,1
xiii,xii,1
hair,nail,1
vii,viii,1
iva,iii,1
vii,ix,1
po2,pco2,1
neurolysis,necrosis,1
dental,retinal,1
nr5a1,npm1,1
oropharyngeal,pharyngeal,1
ivb,iva,1
phytotherapy,physiotherapy,1
cryptitis,carditis,1
vii,ii,1
colectomy,lipectomy,1
ivb,iii,1
renal,rectal,1
c2,c4,1
vaginal,anal,1
vein,skin,1
renal,ear,1
