MRA_term,Modified_term,SearcherReturned_term,State,Rank
Ataxia,axia,Extra-axial haemorrhage,Unmatched,5th
Ataxia,axtia,Anotia,Unmatched,5th
Burkitt's lymphoma,ubrkitt' lymhpoam,High grade B-cell lymphoma Burkitt-like lymphoma stage II,Unmatched,5th
CD8 lymphocytes,cd4 lyphocytqe,CD4 lymphocyte percentage decreased,Unmatched,5th
Chills,cils,Bile duct squamous cell carcinoma,Unmatched,5th
Chills,iclls,LE cells absent,Unmatched,5th
Colitis,lcitis,Terminal ileitis,Unmatched,5th
Condom,coonm,Granulocyte count,Unmatched,5th
Cyst,tyst,West Nile virus test,Unmatched,5th
Factor XIII deficiency,faictoj ixii dweficency,Factor XI deficiency,Unmatched,5th
Factor XIII deficiency,fcttor ixii deficiny,Factor XI deficiency,Unmatched,5th
Fear,ear,Ear pain,Unmatched,5th
Fibrin abnormal,bfrin arbnoral,Diffusion-weighted brain MRI abnormal,Unmatched,5th
Food interaction,ood inprcation,Therapeutic product ineffective for unapproved indication,Unmatched,5th
Galactocele,gcalactoce,Galactose urine decreased,Unmatched,5th
Hepatitis F,hptaitis f,Hepatitis E,Unmatched,5th
Hepatitis F,ehpatitsi f,Hepatitis E,Unmatched,5th
Hepatitis F,heoatitix f,Hepatitis E,Unmatched,5th
Hepatitis F,heputntis f,Hepatitis E,Unmatched,5th
Hepatitis F,hewatitsi f,Hepatitis E,Unmatched,5th
Hepatitis G,yepatcitis g,Hepatitis E,Unmatched,5th
Hepatitis G,tepatiis g,Hepatitis E,Unmatched,5th
Hepatitis G,ehatitis g,Hepatitis E,Unmatched,5th
Hepatitis G,heptitiis g,Hepatitis E,Unmatched,5th
Hepatitis G,heaptitsi g,Hepatitis E,Unmatched,5th
Hepatitis H,heyaitis h,Hepatitis E,Unmatched,5th
Hepatitis H,hepatpiis h,Hepatitis E,Unmatched,5th
Hepatitis H,hpattis h,Hepatitis E,Unmatched,5th
Hepatitis H,hepaiqis h,Hepatitis E,Unmatched,5th
Hepatitis H,hpeateitis h,Hepatitis E,Unmatched,5th
Hyperthermia,hypertemnia,Hypertonia neonatal,Unmatched,5th
Lipoma,poma,Hypoglycaemic coma,Unmatched,5th
Mastoiditis,mastdiis,Radiation mastitis,Unmatched,5th
Morose,more,Model for end stage liver disease score increased,Unmatched,5th
Nausea,nasa,Nasal inflammation,Unmatched,5th
Orf,or,Circumstance or information capable of leading to device use error,Unmatched,5th
Orf,or,Circumstance or information capable of leading to device use error,Unmatched,5th
Otosclerosis,tcslerosis,Amyotrophic lateral sclerosis,Unmatched,5th
Ototoxicity,ttoxiicty,Gastrointestinal toxicity,Unmatched,5th
Papule,apkle,Ankle impingement,Unmatched,5th
Paranoia,apraoia,Aplasia,Unmatched,5th
Pharyngeal cancer stage I,haryngela canltcer stace i,Pharyngeal cancer stage 0,Unmatched,5th
Pharyngeal cancer stage I,parycngeal clnwcer stge i,Pharyngeal cancer stage 0,Unmatched,5th
Pharyngeal cancer stage I,pahyngeal canccrm stgae i,Pharyngeal cancer stage 0,Unmatched,5th
Plague,lpage,Large cell lung cancer stage III,Unmatched,5th
Pneumonitis,mpneumonii,Pneumonia adenoviral,Unmatched,5th
Prostatism,prostatmi,Prostatic disorder,Unmatched,5th
Prothrombin time,othrombxin tie,Thrombin time shortened,Unmatched,5th
Pyuria,auria,Epileptic aura,Unmatched,5th
Ranula,nrula,Anaplastic large cell lymphoma T- and null-cell types recurrent,Unmatched,5th
Retinopathy,retinoty,Urine retinol binding protein,Unmatched,5th
Rotor's syndrome,roto' snrdome,Hand-foot-genital syndrome,Unmatched,5th
Scar,scae,Application site scab,Unmatched,5th
Seroma,scoma,Stoma complication,Unmatched,5th
T-cell lymphoma stage III,t cdell xlymphmoa tsage qii,T-cell lymphoma stage I,Unmatched,5th
Thyroxine,thyroie,Thyroid echinococciasis,Unmatched,5th
Vaginal cancer stage IVA,vinal crancre stae iv,Vaginal cancer stage II,Unmatched,5th
XIIth nerve injury,iith enrve nfjury,Vth nerve injury,Unmatched,5th
XIth nerve injury,ith enrve injyr,XIIth nerve injury,Unmatched,5th
Abulia,auia,Anuria,Unmatched,5th
Abulia,alia,Alpha-1 acid glycoprotein normal,Unmatched,5th
Lipase,liae,Life support,Unmatched,5th
Myeloblastoma,myloblastm,Myeloblast count decreased,Unmatched,5th
Myometritis,metritis,Optic neuritis,Unmatched,5th
Factor XII deficiency,facyofr xipi dfeiciecy,Factor XIII deficiency,Unmatched,5th
Factor XII deficiency,nfactro ixi defigienyc,Factor VIII deficiency,Unmatched,5th
Factor XII deficiency,acto xsi defifieny,Factor XIII deficiency,Unmatched,5th
Factor III deficiency,tafctor ii edficienc,Factor XII deficiency,Unmatched,5th
Factor III deficiency,fcatyor ii defiiceny,Factor XII deficiency,Unmatched,5th
Factor III deficiency,lactpr iiv efiicency,Factor XII deficiency,Unmatched,5th
Factor III deficiency,cfator ii deficiceny,Factor XII deficiency,Unmatched,5th
Asplenia,spleniq,Splenic injury,Unmatched,5th
Trisomy 18,triskym 18,Trisomy 8,Unmatched,5th
Trisomy 18,riomy 18,Trisomy 8,Unmatched,5th
Trisomy 18,tiwomy 18,Trisomy 8,Unmatched,5th
Trisomy 18,tisuomy 18,Trisomy 8,Unmatched,5th
Trisomy 18,triukomy 18,Trisomy 8,Unmatched,5th
Trisomy 17,tirsohy 17,Trisomy 18,Unmatched,5th
Trisomy 17,trsofy 17,Trisomy 18,Unmatched,5th
Trisomy 17,rtisoy 17,Trisomy 18,Unmatched,5th
Trisomy 17,tisoym 17,Trisomy 18,Unmatched,5th
Trisomy 17,tzriomy 17,Trisomy 18,Unmatched,5th
Acantholysis,aantalysis,Saliva analysis,Unmatched,5th
Conjunctival disorder,conjunital edisordger,Congenital thrombocyte disorder,Unmatched,5th
Corneal disorder,rcneal dsofrder,Immune-mediated renal disorder,Unmatched,5th
Entropion,eropion,Scrotum erosion,Unmatched,5th
Trisomy 15,trsismy 15,Trisomy 18,Unmatched,5th
Trisomy 15,tirsomq 15,Trisomy 18,Unmatched,5th
Trisomy 15,trijsoym 15,Trisomy 18,Unmatched,5th
Trisomy 15,vridsomy 15,Trisomy 18,Unmatched,5th
Trisomy 15,tmrisoty 15,Trisomy 18,Unmatched,5th
Effusion,elusion,Somatic delusion,Unmatched,5th
Trisomy 12,trhiomy 12,Trisomy 18,Unmatched,5th
Trisomy 12,trioamy 12,Trisomy 18,Unmatched,5th
Trisomy 12,ribsomy 12,Trisomy 18,Unmatched,5th
Trisomy 12,tirisoym 12,Trisomy 18,Unmatched,5th
Trisomy 12,traosmy 12,Trisomy 18,Unmatched,5th
Hysterocele,hpysrocele,Renal hydrocele,Unmatched,5th
Plateletcrit normal,plateleci onrmar,Mean platelet volume normal,Unmatched,5th
Palatectomy,mnltectomy,Modified radical mastectomy,Unmatched,5th
Trisomy 9,rtitomy 9,Trisomy 8,Unmatched,5th
Trisomy 9,triolomy 9,Trisomy 8,Unmatched,5th
Trisomy 9,toismoy 9,Trisomy 8,Unmatched,5th
Trisomy 9,tisoym 9,Trisomy 8,Unmatched,5th
Trisomy 9,triso 9,Trisomy 8,Unmatched,5th
Trisomy 14,srsiomy 14,Trisomy 18,Unmatched,5th
Trisomy 14,peisomy 14,Trisomy 18,Unmatched,5th
Trisomy 14,trisy 14,Trisomy 18,Unmatched,5th
Trisomy 14,tziasomy 14,Trisomy 18,Unmatched,5th
Trisomy 14,tirsmy 14,Trisomy 18,Unmatched,5th
Lipoinjection,pionjection,Intrathecal injection,Unmatched,5th
Thyroplasty,rthoplasty,Ankle arthroplasty,Unmatched,5th
Bradyphagia,raphagia,Acquired epileptic aphasia,Unmatched,5th
Chagoma,acgoma,Coma hepatic,Unmatched,5th
