MRA_terms,Returned
Cyst,Chest wall cyst
Cyst,Chest wall cyst
Cyst,Chest wall cyst
Cyst,Chest wall cyst
Cyst,Chest wall cyst
Death,Fear of death
Fungal infection,Anal fungal infection
Infection,Injection site infection
Infection,Injection site infection
Infection,Injection site infection
Infection,Injection site infection
Infection,Injection site infection
Lipids,Lipid proteinosis
Mental impairment,Foetal renal impairment
Myoclonus,Opsoclonus myoclonus
Pain,Pain of skin
Pain,Pain of skin
Pain,Pain of skin
Pain,Pain of skin
Pain,Pain of skin
Pancreatitis,Pancreatic atrophy
Renal dysplasia,Renal cell dysplasia
Sarcoma,Endometrial stromal sarcoma
Seroma,Endometrial stromal sarcoma
Surgery,Coronary artery surgery
Unemployment,Loss of employment
Viral infection,Zika virus infection
Oral infection,Oral viral infection
Oral infection,Oral viral infection
Oral infection,Oral viral infection
Oral infection,Oral viral infection
Oral infection,Oral viral infection
Carbohydrate antigen 27.29,Carbohydrate antigen 19-9
Wound,Gun shot wound
Wound,Swollen joint count
Wound,Gun shot wound
Injection,Injection site infection
Injection,Injection site infection
Injection,Injection site infection
Injection,Injection site infection
Injection,Injection site infection
Allergy test,Allergy alert test
Allergy test negative,Allergy alert test negative
Infusion,Infusion site joint effusion
Infusion,Infusion site joint effusion
Optic neuropathy,Toxic optic neuropathy
Optic neuropathy,Toxic optic neuropathy
Culture,Suture rupture
Culture,Suture rupture
Effusion,Infusion site joint effusion
Crime,Home care
Coinfection,Injection site infection
