MRA_term,Modified_term,State
17 ketosteroids urine decreased,17 ketoteroyids uribne decreasdge,NO return
"20,22-desmolase deficiency",20 22 demolasg deicienncy,NO return
Abdominal tenderness,abdomiknl tenrdness,NO return
ABO haemolytic disease of newborn,ab haemolyct diseaose of newbgrn,NO return
ABO incompatibility,bo incmopatibilyit,NO return
ABO incompatibility,vbo ikncompaeibilits,NO return
ABO incompatibility,ao incopatibiiltn,NO return
ABO incompatibility,xabo incmaqtibility,NO return
ABO incompatibility,ab inocmpatibiiuty,NO return
Abortion induced complete complicated,abjortion induce cymplete complicaestd,NO return
Abortion induced complicated,aborztion onduced compliaqcted,NO return
Abortion induced complicated,abortioi indued complcqiated,NO return
Acidosis hyperchloraemic,acjidosis hyvpechloreamic,NO return
Acidosis hyperchloraemic,aidosis hypqrchloreic,NO return
Acidosis hyperchloraemic,acidoiss hypnerchsoraemiq,NO return
Acidosis hyperchloraemic,acdosis hyperchlrovrafemic,NO return
Acidosis hyperchloraemic,aoidosis hyperhcloqraemsc,NO return
Acoustic stimulation tests,caoustic ismulation tescs,NO return
Acquired immunodeficiency syndrome,aqcuired immunyodewfiaiency syndorme,NO return
Acquired immunodeficiency syndrome,adcquired imufnoeficiency syndrmoe,NO return
Acquired immunodeficiency syndrome,aquired mimunnodefiyiency synrdome,NO return
Acquired immunodeficiency syndrome,aquired immundefscienfcy syndrmoe,NO return
Acquired immunodeficiency syndrome,acquird bimmunodeeiiency sycndrome,NO return
Acrocephalosyndactyly,acrcephaflosyndcatylz,NO return
Acrocephalosyndactyly,acrocphalqonyndctyly,NO return
Acrocephalosyndactyly,acocepewalosnndactyly,NO return
Acrocephalosyndactyly,acroechpalosoyndcatyly,NO return
Acrocephalosyndactyly,arocephaqosyndasytly,NO return
Actinomycotic pulmonary infection,jctinomcotic pulmoaenry ifecqion,NO return
Activated partial thromboplastin time abnormal,acvtated aprtial tromboplastind tihe abnorral,NO return
Activated partial thromboplastin time normal,activatge lpartial thmrboplastin tie norma,NO return
Acute disseminated encephalomyelitis,wcute dsisevinated encephkalgmyklitis,NO return
