MRA_term,Modified_term,SearcherReturned_term,State,Rank
Blood immunoglobulin G increased,bolod immunoglgobpulin g rncreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M abnormal,blwod immunologbulin m bnormal,Blood immunoglobulin G abnormal,Unmatched,5th
Blood immunoglobulin M decreased,blod immunoglobrlni m ecreased,Blood immunoglobulin G decreased,Unmatched,5th
Blood immunoglobulin M increased,bood immunoglobiln m iwcreased,Blood immunoglobulin G decreased,Unmatched,5th
Coagulation factor X level increased,coagulatino factro x levek nicreased,Coagulation factor X level decreased,Unmatched,5th
Coagulation factor X level increased,cogulation facotr x levll ixcreased,Coagulation factor X level decreased,Unmatched,5th
Coagulation factor XII level increased,coagulatioxn factorb xii leevl icreased,Coagulation factor VIII level decreased,Unmatched,5th
Coagulation factor XIII level decreased,aoagulation factro xiii lvvel drcreased,Coagulation factor XI level decreased,Unmatched,5th
Coagulation factor XIII level decreased,coagulatkon fpactor xiii evel dcreased,Coagulation factor XI level decreased,Unmatched,5th
Coagulation factor XIII level increased,cohagulation iactor xiii levem icreased,Coagulation factor XI level decreased,Unmatched,5th
Coagulation factor XIII level increased,coagultaion factr xiii levle ncreased,Coagulation factor XI level decreased,Unmatched,5th
Hepatitis F,hepatbtis f,Hepatitis E,Unmatched,5th
Hepatitis F,hepatitds f,Hepatitis E,Unmatched,5th
Hepatitis F,hepatitsis f,Hepatitis E,Unmatched,5th
Hepatitis F,qepatitis f,Hepatitis E,Unmatched,5th
Hepatitis F,hepatitifs f,Hepatitis E,Unmatched,5th
Hepatitis G,hepatiits g,Hepatitis E,Unmatched,5th
Hepatitis G,heptaitis g,Hepatitis E,Unmatched,5th
Hepatitis G,hepatetis g,Hepatitis E,Unmatched,5th
Hepatitis G,hetpatitis g,Hepatitis E,Unmatched,5th
Hepatitis G,nhepatitis g,Hepatitis E,Unmatched,5th
Hepatitis H,hepatitils h,Hepatitis E,Unmatched,5th
Hepatitis H,heatitis h,Hepatitis E,Unmatched,5th
Hepatitis H,hnepatitis h,Hepatitis E,Unmatched,5th
Hepatitis H,hepatitiys h,Hepatitis E,Unmatched,5th
Hepatitis H,heaptitis h,Hepatitis E,Unmatched,5th
Pancreatitis,pancreatist,Pancreatic haemorrhage,Unmatched,5th
Pharyngeal cancer stage I,paryngeal cqancer satge i,Pharyngeal cancer stage 0,Unmatched,5th
Pharyngeal cancer stage I,hparyngeal canccer satge i,Pharyngeal cancer stage 0,Unmatched,5th
Vaginal cancer stage I,aginal cacer soage i,Vaginal cancer stage 0,Unmatched,5th
Vaginal cancer stage IVA,vainal cancek stgae iva,Vaginal cancer stage I,Unmatched,5th
Vaginal cancer stage IVA,vainal cancr sage iva,Vaginal cancer stage I,Unmatched,5th
Vaginal cancer stage IVB,aginal cacer tsage ivb,Vaginal cancer stage I,Unmatched,5th
Vaginal cancer stage IVB,aginal cancre stag ivb,Vaginal cancer stage I,Unmatched,5th
XIth nerve injury,xith nerye injugy,XIIth nerve injury,Unmatched,5th
XIth nerve injury,xith nerqe ijury,XIIth nerve injury,Unmatched,5th
XIth nerve injury,xith nedve inury,XIIth nerve injury,Unmatched,5th
XIth nerve injury,xith enrve injfury,XIIth nerve injury,Unmatched,5th
XIth nerve injury,xith nerfe inejury,XIIth nerve injury,Unmatched,5th
Electrocardiogram Q wave abnormal,kelectrocardiograt q wave abormal,Electrocardiogram P wave abnormal,Unmatched,5th
Complement factor C1 increased,cmplement facor c1 lncreased,Complement factor C1 decreased,Unmatched,5th
Complement factor C2 decreased,ocmplement facto c2 edcreased,Complement factor C1 decreased,Unmatched,5th
Complement factor C2 decreased,cmoplement fcator c2 ecreased,Complement factor C1 decreased,Unmatched,5th
Complement factor C2 increased,comlpement fatctor c2 igcreased,Complement factor C1 decreased,Unmatched,5th
Complement factor C2 increased,iomplement foactor c2 nicreased,Complement factor C1 decreased,Unmatched,5th
Factor XII deficiency,fadctor xii defiiency,Factor XI deficiency,Unmatched,5th
Factor XII deficiency,fatcor xii deficienyy,Factor XI deficiency,Unmatched,5th
Factor XII deficiency,afctor xii dzeficiency,Factor XI deficiency,Unmatched,5th
Factor XII deficiency,faetor xii defxciency,Factor XI deficiency,Unmatched,5th
Factor XII deficiency,faptor xii deficiencyl,Factor XI deficiency,Unmatched,5th
Wound,wount,Tender joint count increased,Unmatched,5th
Factor III deficiency,ftactor iii defciiency,Factor XII deficiency,Unmatched,5th
Factor III deficiency,fanctor iii dfeiciency,Factor XII deficiency,Unmatched,5th
Factor III deficiency,zactor iii defyiciency,Factor XII deficiency,Unmatched,5th
Factor III deficiency,fator iii dficiency,Factor XII deficiency,Unmatched,5th
Factor III deficiency,fctor iii feficiency,Factor XII deficiency,Unmatched,5th
Trisomy 18,trismy 18,Trisomy 8,Unmatched,5th
Trisomy 18,jrisomy 18,Trisomy 8,Unmatched,5th
Trisomy 18,risomy 18,Trisomy 8,Unmatched,5th
Trisomy 18,rtisomy 18,Trisomy 8,Unmatched,5th
Trisomy 18,trismy 18,Trisomy 8,Unmatched,5th
Trisomy 17,trisomty 17,Trisomy 18,Unmatched,5th
Trisomy 17,trismy 17,Trisomy 18,Unmatched,5th
Trisomy 17,trisomd 17,Trisomy 18,Unmatched,5th
Trisomy 17,trismoy 17,Trisomy 18,Unmatched,5th
Trisomy 17,trcisomy 17,Trisomy 18,Unmatched,5th
Hepatitis E antibody normal,hepatitlis e abtibody bnormal,Hepatitis E antibody abnormal,Unmatched,5th
Hepatitis E antibody normal,heepatitis e atnibody ynormal,Hepatitis E antibody abnormal,Unmatched,5th
Vitamin B2 decreased,ivtamin b2 djcreased,Vitamin B1 increased,Unmatched,5th
Vitamin B2 decreased,vitamir b2 becreased,Vitamin B1 increased,Unmatched,5th
Vitamin K decreased,ivtamin k edcreased,Vitamin K increased,Unmatched,5th
Coagulation factor XII level abnormal,coagutation fakctor xii lecvel bnormal,Coagulation factor VII level abnormal,Unmatched,5th
Coagulation factor XIII level abnormal,coaguation afactor xiii levle tbnormal,Coagulation factor XI level abnormal,Unmatched,5th
Coagulation factor XIII level abnormal,coagulution facxor xiii lyevel anormal,Coagulation factor XI level abnormal,Unmatched,5th
Coagulation factor XIII level abnormal,coagluation hfactor xiii leevl aznormal,Coagulation factor XI level abnormal,Unmatched,5th
Coagulation factor XIII level abnormal,mcoagulation facor xiii mevel anormal,Coagulation factor XI level abnormal,Unmatched,5th
Coagulation factor XIII level abnormal,cogulation fartor xiii levle ainormal,Coagulation factor XI level abnormal,Unmatched,5th
Vitamin A decreased,vitamlin a dhcreased,Vitamin K increased,Unmatched,5th
Vitamin A increased,vittmin a itcreased,Vitamin K increased,Unmatched,5th
Vitamin A increased,vzitamin a ikcreased,Vitamin K increased,Unmatched,5th
Vitamin A increased,vitmain a ncreased,Vitamin K increased,Unmatched,5th
Vitamin D decreased,vitahin d ecreased,Vitamin K increased,Unmatched,5th
Trisomy 15,tisomy 15,Trisomy 18,Unmatched,5th
Trisomy 15,trisom 15,Trisomy 18,Unmatched,5th
Trisomy 15,trisoy 15,Trisomy 18,Unmatched,5th
Trisomy 15,triomy 15,Trisomy 18,Unmatched,5th
Trisomy 15,tisomy 15,Trisomy 18,Unmatched,5th
Trisomy 12,tisomy 12,Trisomy 18,Unmatched,5th
Trisomy 12,rrisomy 12,Trisomy 18,Unmatched,5th
Trisomy 12,tcisomy 12,Trisomy 18,Unmatched,5th
Trisomy 12,triosmy 12,Trisomy 18,Unmatched,5th
Trisomy 12,trbisomy 12,Trisomy 18,Unmatched,5th
Coagulation factor XII level normal,coagulaton facator xii levl ynormal,Coagulation factor VII level abnormal,Unmatched,5th
Blood immunoglobulin D increased,bood immunoelobulni d iacreased,Blood immunoglobulin G decreased,Unmatched,5th
Trisomy 9,triysomy 9,Trisomy 8,Unmatched,5th
Trisomy 9,triosmy 9,Trisomy 8,Unmatched,5th
Trisomy 9,tpisomy 9,Trisomy 8,Unmatched,5th
Trisomy 9,triqomy 9,Trisomy 8,Unmatched,5th
Trisomy 9,triosmy 9,Trisomy 8,Unmatched,5th
Trisomy 14,ntrisomy 14,Trisomy 18,Unmatched,5th
Trisomy 14,trismy 14,Trisomy 18,Unmatched,5th
Trisomy 14,trisomyq 14,Trisomy 18,Unmatched,5th
Trisomy 14,wrisomy 14,Trisomy 18,Unmatched,5th
Trisomy 14,trismy 14,Trisomy 18,Unmatched,5th
Electrocardiogram J wave abnormal,eleccrocardiogrma j wave arnormal,Electrocardiogram P wave abnormal,Unmatched,5th
Trisomy 4p,trfisomy 4p,Trisomy 18,Unmatched,5th
Trisomy 4p,tsrisomy 4p,Trisomy 18,Unmatched,5th
Trisomy 4p,tmrisomy 4p,Trisomy 18,Unmatched,5th
Trisomy 4p,trisom 4p,Trisomy 18,Unmatched,5th
Trisomy 4p,crisomy 4p,Trisomy 18,Unmatched,5th
Trisomy 16,trissomy 16,Trisomy 18,Unmatched,5th
Trisomy 16,triosmy 16,Trisomy 18,Unmatched,5th
Trisomy 16,trisoky 16,Trisomy 18,Unmatched,5th
Trisomy 16,trisodmy 16,Trisomy 18,Unmatched,5th
Trisomy 16,trisoym 16,Trisomy 18,Unmatched,5th
