MRA_term,Modified_term,SearcherReturned_term,State,Rank
Blood immunoglobulin G abnormal,xblood immuhoglbulin g banormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G abnormal,bqood imunoglcbulin g banormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G abnormal,bloom iqmunoglobunin g awnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin G decreased,blgood immunoglmoulin g edcreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin G increased,bolod immunoglgobpulin g rncreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M abnormal,blwod immunologbulin m bnormal,Blood immunoglobulin E normal,Unmatched,4th
Blood immunoglobulin M decreased,blod immunoglobrlni m ecreased,Blood immunoglobulin E increased,Unmatched,4th
Blood immunoglobulin M increased,bood immunoglobiln m iwcreased,Blood immunoglobulin E increased,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,hronic lymphocytiw leukaema sttage 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chronih lymphbcytic leukaema stagep 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chrnonic lymphotcytic leukaeima tsage 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chrontc lypmhocytic leuksaemia tsage 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Chronic lymphocytic leukaemia stage 4,chronc lymvhocytic lekuaemia stge 4,Chronic lymphocytic leukaemia stage 3,Unmatched,4th
Coagulation factor X level decreased,cogulation fctor x lfvel edcreased,Coagulation factor V level increased,Unmatched,4th
Coagulation factor X level increased,coagulatino factro x levek nicreased,Coagulation factor V level increased,Unmatched,4th
Coagulation factor X level increased,cogulation facotr x levll ixcreased,Coagulation factor V level increased,Unmatched,4th
Coagulation factor XII level,coaguluation fctor xii leve,Coagulation factor XI level,Unmatched,4th
Coagulation factor XII level,coagulakion factorh xii levle,Coagulation factor XI level,Unmatched,4th
Coagulation factor XII level,coagultaion factorn xii levl,Coagulation factor XI level,Unmatched,4th
Coagulation factor XII level,cogulation yfactor xii lvel,Coagulation factor XI level,Unmatched,4th
Coagulation factor XII level,yoagulation fctor xii levehl,Coagulation factor XI level,Unmatched,4th
Coagulation factor XII level decreased,cogulation actor xii lvel decreasend,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XII level decreased,coagulntion fcator xii levjl decreasde,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XII level decreased,cogaulation afctor xii lvel decrease,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XII level decreased,coagultion uactor xii lveel decrhased,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XII level decreased,coagulatiun afctor xii evel decrfased,Coagulation factor XI level decreased,Unmatched,4th
Coagulation factor XII level increased,coagulatioxn factorb xii leevl icreased,Coagulation factor VII level increased,Unmatched,4th
Coagulation factor XII level increased,coagulaion lactor xii levgl increaxsed,Coagulation factor XI level increased,Unmatched,4th
Coagulation factor XII level increased,cpagulation famtor xii lvel ioncreased,Coagulation factor XI level increased,Unmatched,4th
Coagulation factor XII level increased,coagolation vactor xii llvel incrxased,Coagulation factor XI level increased,Unmatched,4th
Coagulation factor XII level increased,coagulatino actor xii levle incruased,Coagulation factor XI level increased,Unmatched,4th
Coagulation factor XIII level,coagulaftion factoq xiii elvel,Coagulation factor XII level,Unmatched,4th
Coagulation factor XIII level,coagulatisn factro xiii leyvel,Coagulation factor XII level,Unmatched,4th
Coagulation factor XIII level,coagulatin facgor xiii levle,Coagulation factor XII level,Unmatched,4th
Coagulation factor XIII level,coauglation factou xiii levet,Coagulation factor XII level,Unmatched,4th
