MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type) refractory,Unmatched,4th
Abdominal mass,abdominal wad,abdominal wad,Abdominal wall infection,Unmatched,4th
Abdominal pain,abdominal infliction,abdominal infliction,Abdominal wall infection,Unmatched,4th
Abdominal tenderness,abdominal warm,abdominal warm,Abdominal wall infection,Unmatched,4th
Abdominal tenderness,abdominal affection,abdominal affection,Abdominal wall infection,Unmatched,4th
Abortion,abort,abort,Procedure aborted,Unmatched,4th
Abscess intestinal,abscess enteral,abscess enteral,Abscess of external auditory meatus,Unmatched,4th
Accident,stroke,stroke,Stroke volume,Unmatched,4th
Accident,accidental,accidental,Accidental underdose,Unmatched,4th
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with disturbance of conduct,Unmatched,4th
Adoption,accept,accept,Vascular access malfunction,Unmatched,4th
Adoption,espouse,espouse,Therapeutic response decreased,Unmatched,4th
Adoption,adopt,adopt,Adult failure to thrive,Unmatched,4th
Adrenal suppression,adrenal quell,adrenal quell,Metastatic renal cell carcinoma,Unmatched,4th
Aged parent,aged raise,aged raise,Acid-base balance disorder mixed,Unmatched,4th
Aged parent,aged rear,aged rear,Face and mouth X-ray,Unmatched,4th
Aggression,hostility,hostility,Oesophageal motility disorder,Unmatched,4th
Agitation,unrest,unrest,Sinus arrest,Unmatched,4th
Agitation,ferment,ferment,Anterior segment ischaemia,Unmatched,4th
Air embolism,vent embolism,vent embolism,Portal vein embolism,Unmatched,4th
Albinism,albinal,albinal,Genital labial operation,Unmatched,4th
Alcoholic,souse,souse,Elder abuse,Unmatched,4th
Alcoholic,alky,alky,Cerebral palsy,Unmatched,4th
Alcoholic,booze,booze,Air-borne transmission,Unmatched,4th
Alcoholic,alcohol,alcohol,Alcohol poisoning,Unmatched,4th
Alcoholic,soaker,soaker,Tooth socket haemostasis,Unmatched,4th
Alcoholic,lush,lush,Biopsy lung,Unmatched,4th
Alcoholic,soak,soak,Shock,Unmatched,4th
Amenorrhoea,amenia,amenia,Amusia,Unmatched,4th
Amniocentesis,amnio,amnio,Amino acid metabolism disorder,Unmatched,4th
Amniocentesis abnormal,amnio abnormal,amnio abnormal,Amino acid level abnormal,Unmatched,4th
Amniocentesis normal,amnio normal,amnio normal,Amino acid level abnormal,Unmatched,4th
Anaesthesia,anesthetic,anesthetic,Anaesthetic complication neurological,Unmatched,4th
Anaesthesia,anaesthetist,anaesthetist,Anaesthetic complication neurological,Unmatched,4th
Anal cancer stage I,anal Crab stage i,anal crab stage i,Lip and/or oral cavity cancer stage IV,Unmatched,4th
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Lip and/or oral cavity cancer stage 0,Unmatched,4th
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Lip and/or oral cavity cancer stage 0,Unmatched,4th
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Lip and/or oral cavity cancer stage 0,Unmatched,4th
Anal fissure,anal chap,anal chap,X-ray of pelvis and hip abnormal,Unmatched,4th
Anal fistula,anal sinus,anal sinus,Anti-JC virus antibody index,Unmatched,4th
Anal skin tags,anal pelt tags,anal pelt tags,Renal cell carcinoma stage IV,Unmatched,4th
