unfoundTokens,addedTokens,count
increased,decreased,242
normal,abnormal,199
xiii,xi,158
m,g,138
xii,viii,77
xii,vii,77
decreased,increased,56
d,g,55
i,0,47
renal,rectal,37
c2,c1,35
iii,xii,31
iii,ii,29
iv,ii,24
a,k,21
d,k,21
g,e,19
xii,xi,18
j,p,18
q,p,16
xith,xiith,16
ii,iii,15
h,e,7
b2,b1,7
9,18,5
bite,staring,4
k,b2,4
f,e,4
induration,scleritis,3
14,18,3
15,18,3
16,18,3
17,18,3
18,8,3
e,b2,2
iii,i,1
bloom,pash,1
abnormality,abnormal,1
u,p,1
scratch,staring,1
caregiver,pco2,1
iv,i,1
choking,flushing,1
mass,weight,1
confabulation,cyst,1
learning,gaming,1
deafness,death,1
ii,i,1
