unfoundTokens,addedTokens,count
e,b,38
c,b,38
abnormal,normal,30
d,b,30
xii,vii,29
decreased,increased,28
d,e,28
x,v,27
m,e,22
e,a,22
e,c,22
xiii,viii,21
g,e,20
t,b,20
a,c,17
a,e,16
d,a,15
i,ii,15
increased,decreased,15
b2,b6,13
b1,b6,13
ii,iii,13
d,c,12
renal,anal,12
c2,c4,11
c,e,11
iii,vii,10
2,1,10
k,e,9
c1,c4,9
xiii,vii,9
xi,ix,9
b,a,8
x,ix,8
viii,vii,8
p,t,7
b2,b12,7
eye,ear,7
xii,ix,6
vaginal,anal,6
b6,b12,6
k,c,6
pharyngeal,laryngeal,6
f,b,5
g,a,5
h,b,5
i,iv,5
igd,igm,5
hair,nail,5
ii,iv,5
iib,iia,5
12,13,5
ii,vii,5
h,n,5
ear,eye,5
g,b,5
h3n2,h2n2,5
iii,iia,5
iiia,iii,5
xxx,xxyy,5
xith,vith,5
xith,viith,5
vth,viith,5
vith,viiith,5
viii,vi,5
vii,xiii,5
vii,vi,5
v,iv,5
scar,scab,5
pash,brash,5
p,j,5
oral,viral,5
o,b,5
n,h,5
lens,penis,5
ix,iv,5
ivb,ii,5
iva,ii,5
iv,vi,5
iiib,iii,5
k,a,5
xyy,xxyy,5
8,7,5
calr,cbl,5
anal,oral,5
a,b,5
c,t,5
9,13,5
anal,renal,5
b,ab,5
b,d,5
braf,brca2,5
8,13,5
72,19,5
72,15,5
4p,13,5
4,9,5
4,3,5
4,1,5
3101,5701,5
3,2,5
3,1,5
2b,2,5
22,13,5
21,13,5
18,13,5
17,13,5
b,e,5
16,13,5
15,13,5
14,13,5
anal,nail,5
c2,c3,4
j,p,4
q,p,4
renal,rectal,4
b,t,3
liver,limb,3
cd4,cd8,3
m,a,3
polyps,polyp,2
test,cyst,2
xiith,viith,2
ureteral,urethral,2
dural,viral,2
tear,test,2
nasal,nail,2
normal,abnormal,2
b1,b12,2
ogden,omenn,2
nasal,aural,2
0,i,2
c4,c3,2
cyp3a5,cyp3a4,2
barre,bone,2
creatinine,creatine,2
cd8,hdl,2
cancer,ulcer,2
cd4,ldl,2
dental,anal,2
vii,viii,1
greig's,meigs,1
colposcopy,colonoscopy,1
chromium,cadmium,1
b12,b6,1
cyp2c9,cyp2b6,1
chest,heart,1
u,p,1
tongue,bone,1
test,tear,1
heart,ear,1
histology,cytology,1
urethrectomy,arthrectomy,1
viiith,ivth,1
cyp3a4,cyp2b6,1
enterovirus,norovirus,1
dental,renal,1
dental,genital,1
ear,heart,1
endoscopy,fundoscopy,1
xiith,viiith,1
endoscopy,gonioscopy,1
eschar,scab,1
sinus,lens,1
facial,glial,1
facial,nasal,1
foetal,renal,1
fungal,dural,1
viith,viiith,1
viith,ivth,1
spasm,scar,1
hyperaesthesia,hypoaesthesia,1
scleral,pleural,1
methanol,ethanol,1
nr5a1,braf,1
c,a,1
nasal,oral,1
incision,infusion,1
bypass,mass,1
infarction,infection,1
infusion,incision,1
j,t,1
breast,brain,1
liver,lip,1
brash,aase,1
lipids,lipase,1
lipids,libido,1
ivth,vith,1
c,s,1
oestradiol,oestriol,1
c1,c3,1
anal,nasal,1
calcium,cadmium,1
paresis,paralysis,1
absent,present,1
abnormality,abnormal,1
po2,pco2,1
q,t,1
rash,mass,1
rectal,renal,1
i,0,1
renal,oral,1
hypokinesia,hyperkinesia,1
renal,sternal,1
retinal,renal,1
dysplasia,aplasia,1
