MRA_terms,Returned
Acne,Bone scan
Alpha-2 macroglobulin,Alpha 1 microglobulin increased
Aniridia,Traumatic anuria
Aniridia,Traumatic anuria
Anorectal ulcer,Rectal ulcer haemorrhage
Anotia,Anti-actin antibody negative
Anuria,Epileptic aura
Ataxia,Axial spondyloarthritis
Ataxia,Anti-actin antibody
Ataxia,Anti-actin antibody negative
Blood creatinine abnormal,Blood creatine phosphokinase abnormal
Burkitt's lymphoma,High grade B-cell lymphoma Burkitt-like lymphoma recurrent
Burkitt's lymphoma stage I,High grade B-cell lymphoma Burkitt-like lymphoma stage II
CD8 lymphocytes,CSF lymphocyte count abnormal
CD8 lymphocytes,CD8 lymphocyte percentage decreased
Chills,Total bile acids
Chills,Blast cells
Colitis,Linitis plastica
Condom,Colon cancer
Crying,Pain of skin
Cyst,Mast cell degranulation test
Dysuria,Sterile pyuria
Enteritis,Enteric neuropathy
Epididymitis,Biopsy epididymis abnormal
Fear,Ear haemorrhage
Fibrin abnormal,Magnetic resonance imaging brain abnormal
Food interaction,Product used for unknown indication
Fracture,Coagulation factor
Fungal infection,Anal fungal infection
Galactocele,Galactose urine
Haemorrhoids,Haemorrhoid operation
Hypohidrosis,Hemifacial anhidrosis
Jejunal stenosis,Renal vein stenosis
Lactose intolerance,Lactose tolerance test abnormal
Lipids,Chapped lips
Lipoma,Coma hepatic
Macrostomia,Foetal macrosomia
Macule,Abdominal wall mass
Mastoiditis,Mastitis postpartum
Morose,Mole excision
Myocarditis,Coxsackie carditis
Nausea,Nasal abscess
Night sweats,Right-to-left cardiac shunt
Orchitis,Otitis media
Orf,Retained placenta or membranes
Orf,Retained placenta or membranes
Otosclerosis,Multiple sclerosis
Ototoxicity,Citrate toxicity
Pain,Pain in jaw
Pain,Pain in jaw
Pain,Pain in jaw
Papule,Maple syrup disease
Papule,Ankle operation
Paranoia,Gait apraxia
Parkinsonism,Parkinson's disease psychosis
PCO2,PaO2/FiO2 ratio decreased
Plague,Large cell lung cancer stage 0
Pleurectomy,Intercostal neurectomy
Pneumonitis,Atypical pneumonia
Polymyositis,Hereditary non-polyposis colorectal cancer syndrome
Prostatism,Prostatic abscess
Prothrombin time,Thrombin time abnormal
Ranula,Cleft uvula
Rash,AST/ALT ratio
Retinopathy,Angiotensin converting enzyme inhibitor foetopathy
Retinopathy,Retinol binding protein
Scab,COMFORT scale score decreased
Scar,Injection site scar
Seroma,Stoma care
Spinal decompression,Spinal cord compression
Tension,Anion gap
Theft,Tilt table test normal
Thirst,Third trimester pregnancy
Thyroxine,Thyroid atrophy
Tremor,Term baby
Weight,High fat diet
Heyde's syndrome,De Barsy syndrome
Nephrostomy,Multilocular cystic nephroma
Abulia,Epileptic aura
Abulia,Alpha-1 acid glycoprotein decreased
Lipase,Limy bile syndrome
Myeloblastoma,Myeloblast percentage
Eschar,External ear prosthesis user
Pneumatosis,Compensation neurosis
Spondylolysis,Ankylosing spondylitis
Dellen,Red blood cell sickled cells present
Injection,Injection site joint infection
Asplenia,Splenic haematoma
Adhesiolysis,Vulvovaginal adenosis
Proctostomy,Urostomy complication
CD8 lymphocytes decreased,CD8 lymphocyte percentage decreased
CD8 lymphocytes decreased,CD8 lymphocyte percentage decreased
Vestibulitis,Seminal vesiculitis gonococcal
Balint's syndrome,Facet joint syndrome
Epulis,Extrarenal pelvis
Acantholysis,Karyotype analysis
Bicytopenia,Immune-mediated cytopenia
Retinogram abnormal,Venogram renal abnormal
Conjunctival disorder,Congenital hearing disorder
Corneal disorder,Congenital renal disorder
Entropion,Corneal erosion
Effusion,Erotomanic delusion
CD4 lymphocytes increased,CD8 lymphocyte percentage increased
Young's syndrome,Dry lung syndrome
Hysterocele,Acquired hydrocele
Plateletcrit normal,Platelet morphology normal
Palatectomy,Radical mastectomy
Fasting,Floating patella
Peritonectomy,Labial frenectomy
Lipoinjection,Joint injection
Thyroplasty,Hip arthroplasty
Chagoma,Intestinal angioma
Froin's syndrome,Klippel-Feil syndrome
Dental paraesthesia,Dental prosthesis placement
Synaesthesia,Epidural anaesthesia
Fistulotomy,Anal fistula
Illness,Gallstone ileus
Listeraemia,Listeria encephalitis
Reflex test,Capillary nail refill test abnormal
Foreign body in throat,Foreign body in respiratory tract
