MRA_term,Modified_term,ChangedBack,SearcherReturned_term,State,Rank
Abdominal mass,ab mass,ab mass,Extranodal marginal zone B-cell lymphoma (MALT type) refractory,Unmatched,4th
Abdominal tenderness,abdominal warm,abdominal warm,Abdominal wall infection,Unmatched,4th
Abscess intestinal,abscess enteral,abscess enteral,Abscess of external auditory meatus,Unmatched,4th
Accident,stroke,stroke,Stroke volume,Unmatched,4th
Accident,accidental,accidental,Accidental underdose,Unmatched,4th
Accommodation disorder,adjustment disorder,adjustment disorder,Adjustment disorder with disturbance of conduct,Unmatched,4th
Adoption,adopt,acquired,Camptodactyly acquired,Unmatched,4th
Adrenal disorder,adrenal trouble,adrenal pain,Renal vein occlusion,Unmatched,4th
Aged parent,aged raise,aged raise,Acid-base balance disorder mixed,Unmatched,4th
Aggression,hostility,hostility,Oesophageal motility disorder,Unmatched,4th
Agitation,ferment,work,Shift work disorder,Unmatched,4th
Alcoholic,alcohol,alcohol,Alcohol poisoning,Unmatched,4th
Alcoholism,inebriate,alcohol,Alcohol poisoning,Unmatched,4th
Anal cancer stage II,anal cancer stage 2,anal cancer stage 2,Lip and/or oral cavity cancer stage 0,Unmatched,4th
Anal cancer stage III,anal cancer stage 3,anal cancer stage 3,Lip and/or oral cavity cancer stage 0,Unmatched,4th
Anal cancer stage IV,anal cancer stage 4,anal cancer stage 4,Lip and/or oral cavity cancer stage 0,Unmatched,4th
Anal fistula,anal fistular,anal sinus,Anti-JC virus antibody index,Unmatched,4th
Anal fistula,anal sinus,anal sinus,Anti-JC virus antibody index,Unmatched,4th
Anal fistula,anal fistulous,anal sinus,Anti-JC virus antibody index,Unmatched,4th
Anal skin tags,anal peel tags,anal peel tags,Renal cell carcinoma stage IV,Unmatched,4th
Angiotensin II,angiotensin 2,angiotensin 2,Angiotensin I increased,Unmatched,4th
Animal scratch,animal start,animal part,Anomaly of external ear congenital,Unmatched,4th
Animal scratch,animal scar,animal scar,Anomaly of external ear congenital,Unmatched,4th
Apathy,numb,numb,Limb deformity,Unmatched,4th
Apathy,indifference,indifference,Blood pressure difference of extremities,Unmatched,4th
Apolipoprotein A-II,apolipoprotein a 2,apolipoprotein a 2,Apolipoprotein A-I decreased,Unmatched,4th
Arterial rupture,arterial tear,arterial tear,Arterial segmental pressure test,Unmatched,4th
Arterial thrombosis,artery thrombosis,artery thrombosis,Coronary artery thrombosis,Unmatched,4th
Aspiration,inhalation,inhalation,Respiratory fume inhalation disorder,Unmatched,4th
Aspiration,intake,intake,Excessive dietary supplement intake,Unmatched,4th
Aspiration,aspirate,aspirate,Aspartate aminotransferase decreased,Unmatched,4th
Asthma,asthmatic,asthmatic,Acute post asthmatic amyotrophy,Unmatched,4th
Atrophy,wasting,wasting,Potassium wasting nephropathy,Unmatched,4th
